формулировка вопроса;вариант ответа;правильность
Что такое воздух?;смесь газообразных веществ;1
Что такое воздух?;твердое вещество;0
Что такое воздух?;смесь твердых веществ;0
Что такое воздух?;жидкое вещество;0
Какое из веществ входит в основной состав воздуха?;уксус;0
Какое из веществ входит в основной состав воздуха?;фтор;0
Какое из веществ входит в основной состав воздуха?;крахмал;0
Какое из веществ входит в основной состав воздуха?;водяной пар;1
Укажи свойство, которого нет у воздуха;бесцветен;0
Укажи свойство, которого нет у воздуха;прозрачен;0
Укажи свойство, которого нет у воздуха;голубой цвет;1
Укажи свойство, которого нет у воздуха;поддерживает горение;0